city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Nagahama,48,JP,1623713964,98,35.3833,136.2667,77.99,2.37
Port Macquarie,95,AU,1623713840,61,-31.4333,152.9167,56.89,2.04
Bubaque,98,GW,1623713965,80,11.2833,-15.8333,81.0,10.38
Saint-Philippe,57,RE,1623713965,75,-21.3585,55.7679,71.22,11.07
Khatanga,86,RU,1623713966,76,71.9667,102.5,48.67,6.96
Pristen',11,RU,1623713966,92,51.2355,36.6959,62.28,4.32
George Town,20,MY,1623713966,91,5.4112,100.3354,80.89,3.0
Rikitea,100,PF,1623713967,80,-23.1203,-134.9692,75.22,10.83
Cape Town,0,ZA,1623713942,85,-33.9258,18.4232,57.11,3.44
Eyl,100,SO,1623713967,74,7.9803,49.8164,78.01,18.37
Nikolskoye,80,RU,1623713968,70,59.7035,30.7861,54.39,6.15
Torbay,40,CA,1623713729,86,47.6666,-52.7314,51.28,10.36
Lompoc,1,US,1623713969,73,34.6391,-120.4579,91.56,16.11
Ulladulla,84,AU,1623713969,62,-35.35,150.4667,58.87,3.65
Kapaa,100,US,1623713969,79,22.0752,-159.319,84.18,3.0
Mitzic,37,GA,1623713970,96,0.7821,11.549,68.81,3.31
Gobabis,0,NA,1623713970,37,-22.45,18.9667,52.57,10.74
Boulder City,1,US,1623713970,6,35.9786,-114.8325,109.8,6.91
Ust-Kuyga,93,RU,1623713971,56,70.0167,135.6,55.4,9.31
Tasiilaq,14,GL,1623713971,76,65.6145,-37.6368,37.56,4.34
Umba,58,RU,1623713972,84,66.6871,34.3429,49.46,8.57
Busselton,90,AU,1623713754,82,-33.65,115.3333,51.08,11.05
Whitecourt,40,CA,1623713972,34,54.1502,-115.6855,83.44,13.8
Port Pirie,76,AU,1623713973,76,-33.1833,138.0167,48.29,11.95
Avarua,75,CK,1623713973,78,-21.2078,-159.775,75.25,12.66
Mataura,100,NZ,1623713973,95,-46.1927,168.8643,48.47,0.6
Dikson,6,RU,1623713974,92,73.5069,80.5464,38.82,13.4
Bathsheba,40,BB,1623713974,69,13.2167,-59.5167,81.21,18.41
Polis,12,CY,1623713975,88,35.0367,32.4264,71.42,6.53
Codrington,100,AU,1623713976,73,-38.2667,141.9667,52.97,8.88
Cabo San Lucas,75,MX,1623713976,61,22.8909,-109.9124,92.52,4.61
Río Gallegos,0,AR,1623713976,80,-51.6226,-69.2181,33.85,13.8
Narsaq,19,GL,1623713977,82,60.9167,-46.05,50.22,3.62
Badnāwar,20,IN,1623713977,76,23.0167,75.2167,79.3,21.07
Teahupoo,27,PF,1623713977,81,-17.8333,-149.2667,76.96,16.58
Noumea,84,NC,1623713902,99,-22.2763,166.4572,73.99,11.68
Yenagoa,97,NG,1623713978,95,4.9247,6.2642,75.58,2.73
Albany,97,US,1623713978,92,42.6001,-73.9662,65.17,2.62
Punta Arenas,0,CL,1623713979,75,-53.15,-70.9167,33.91,9.22
Bluff,100,NZ,1623713979,93,-46.6,168.3333,48.79,12.68
Saint Paul Harbor,1,US,1623713980,48,57.79,-152.4072,62.11,10.36
Balkanabat,0,TM,1623713980,57,39.5108,54.3671,78.06,2.19
Jiayuguan City,100,CN,1623713980,62,39.8167,98.3,57.34,15.5
Mount Isa,8,AU,1623713981,24,-20.7333,139.5,69.57,5.75
Belaya Gora,84,RU,1623713981,47,68.5333,146.4167,63.57,9.35
Castro,0,BR,1623713982,83,-24.7911,-50.0119,50.09,1.12
Arraial do Cabo,1,BR,1623713969,65,-22.9661,-42.0278,69.55,8.01
Pacific Grove,20,US,1623713982,75,36.6177,-121.9166,81.07,1.01
Marsaxlokk,0,MT,1623713983,88,35.8419,14.5431,73.08,6.91
Guilin,77,CN,1623713983,88,25.2819,110.2864,80.71,5.12
Aksarayskiy,2,RU,1623713983,85,46.7924,48.0119,66.15,9.71
Ketchikan,88,US,1623713984,74,55.3422,-131.6461,59.09,6.62
Tuktoyaktuk,20,CA,1623713984,62,69.4541,-133.0374,55.4,10.36
Ushuaia,40,AR,1623713875,81,-54.8,-68.3,37.06,23.02
Kavaratti,98,IN,1623713985,76,10.5669,72.642,83.26,25.43
Masunga,0,BW,1623713985,39,-20.6246,27.4488,50.4,6.76
Zakamensk,78,RU,1623713985,85,50.3741,103.2863,48.36,4.68
Kaiyuan,93,CN,1623713986,85,23.6977,103.3037,70.07,5.19
Llanes,70,ES,1623713986,91,43.4198,-4.7549,67.89,4.56
Kathmandu,75,NP,1623713987,100,27.7167,85.3167,70.02,2.3
Hermanus,0,ZA,1623713987,83,-34.4187,19.2345,56.89,6.22
Ahipara,100,NZ,1623713987,84,-35.1667,173.1667,62.78,6.02
Chornukhy,60,UA,1623713988,91,50.2673,32.942,60.64,5.53
Tarauacá,46,BR,1623713988,71,-8.1614,-70.7656,74.17,0.45
Yellowknife,75,CA,1623713862,38,62.456,-114.3525,73.92,6.91
Atuona,39,PF,1623713968,75,-9.8,-139.0333,79.7,20.24
Jardim,0,BR,1623713989,66,-21.4803,-56.1381,63.9,3.98
Sept-Îles,90,CA,1623713984,81,50.2001,-66.3821,49.24,11.01
Hilo,75,US,1623713989,69,19.7297,-155.09,80.33,11.5
Hobart,75,AU,1623713976,94,-42.8794,147.3294,54.01,1.14
Bud,66,US,1623713990,67,39.447,-86.1758,82.49,12.24
Nola,28,IT,1623713990,52,40.922,14.5329,74.55,6.49
Atasū,28,KZ,1623713991,52,48.6814,71.6433,60.91,8.66
Vaini,75,TO,1623713991,83,-21.2,-175.2,77.16,13.8
Upernavik,96,GL,1623713992,94,72.7868,-56.1549,34.12,8.43
Mar del Plata,90,AR,1623713992,80,-38.0023,-57.5575,50.02,5.01
Saint-Augustin,100,CA,1623713992,77,51.226,-58.6502,49.78,10.29
Baculin,93,PH,1623713993,72,7.4525,126.5842,82.65,4.29
Sompeta,100,IN,1623713993,75,18.9333,84.6,82.06,7.58
Aklavik,40,CA,1623713994,42,68.2191,-135.0107,68.83,10.36
Aksu,100,CN,1623713994,55,41.1231,80.2644,61.52,8.79
Bethel,85,US,1623713994,83,41.3712,-73.414,69.19,4.52
Debre Tabor,98,ET,1623713995,71,11.85,38.0167,57.0,0.81
Smithers,75,CA,1623713995,58,54.7804,-127.1743,59.32,9.22
Kavieng,40,PG,1623713996,70,-2.5744,150.7967,84.49,10.85
Ishigaki,75,JP,1623713996,84,24.3448,124.1572,86.13,14.97
Churapcha,100,RU,1623713996,61,62.0025,132.4325,60.06,3.4
Zhezkazgan,1,KZ,1623713997,50,47.8043,67.7144,65.71,9.13
Butaritari,21,KI,1623713997,75,3.0707,172.7902,83.68,16.2
Puerto Baquerizo Moreno,99,EC,1623713997,76,-0.9,-89.6,72.54,13.44
Russko-Vysotskoye,59,RU,1623713998,69,59.6996,29.944,53.44,8.75
Iqaluit,90,CA,1623713999,64,63.7506,-68.5145,38.93,8.01
Coyhaique,0,CL,1623713999,86,-45.5752,-72.0662,33.75,4.61
Tura,62,IN,1623714000,88,25.5198,90.2201,76.03,4.65
Raduzhny,82,RU,1623714000,82,62.0961,77.475,62.02,7.09
Katsuura,5,JP,1623714000,71,35.1333,140.3,74.23,6.17
Egvekinot,100,RU,1623714001,97,66.3167,-179.1667,34.09,4.03
Port Hardy,75,CA,1623713993,63,50.6996,-127.4199,64.58,3.44
Washington,99,US,1623713837,50,47.5001,-120.5015,74.05,5.86
New Norfolk,100,AU,1623714001,87,-42.7826,147.0587,53.65,1.14
Nanortalik,44,GL,1623713980,87,60.1432,-45.2371,37.63,3.53
Si Racha,94,TH,1623714003,71,13.1737,100.9311,87.13,12.39
Kazanskoye,10,RU,1623714003,69,55.6448,69.235,61.36,5.91
Ponta do Sol,24,PT,1623714004,79,32.6667,-17.1,70.43,3.09
Praia,40,CV,1623714004,73,14.9215,-23.5087,75.74,12.66
Lodja,100,CD,1623714004,57,-3.4833,23.4333,70.03,1.97
Mehamn,28,NO,1623714005,66,71.0357,27.8492,43.68,3.47
Abu Samrah,0,SY,1623714005,77,35.3029,37.1841,65.34,8.37
Lebu,34,CL,1623714006,73,-37.6167,-73.65,47.01,16.26
Puerto Nariño,100,CO,1623714006,91,-3.7703,-70.3831,78.75,2.86
Mezen',22,RU,1623714007,59,65.8522,44.24,50.72,6.04
Hithadhoo,76,MV,1623714007,75,-0.6,73.0833,82.17,8.68
Valle Hermoso,2,MX,1623714007,49,25.6667,-97.8333,93.52,16.15
Giohar,95,SO,1623714008,90,2.7809,45.5005,73.76,10.11
Ribe,100,DK,1623714008,90,55.3305,8.7697,55.42,6.89
Grand Gaube,27,MU,1623714009,81,-20.0064,57.6608,72.0,3.0
Conversion,73,PH,1623714009,83,15.8984,121.1277,78.82,2.42
Anadyr,40,RU,1623714009,66,64.75,177.4833,52.3,11.18
Hervey Bay,24,AU,1623713948,85,-25.2986,152.8535,68.11,5.03
Cabedelo,5,BR,1623714010,84,-6.9811,-34.8339,74.07,12.08
Tateyama,3,JP,1623714010,70,34.9833,139.8667,79.14,3.42
Viedma,57,AR,1623714011,66,-40.8135,-62.9967,42.94,8.21
Coquimbo,20,CL,1623714011,76,-29.9533,-71.3436,53.33,4.61
Chui,12,UY,1623714012,93,-33.6971,-53.4616,54.0,9.31
Sioux Lookout,20,CA,1623714012,56,50.1001,-91.917,68.07,10.36
Itarema,11,BR,1623714013,78,-2.9248,-39.9167,79.63,13.2
Ancud,3,CL,1623714013,80,-41.8697,-73.8203,43.43,8.72
Thompson,75,CA,1623714013,52,55.7435,-97.8558,68.16,5.75
Farmington,1,US,1623714014,4,36.7281,-108.2187,101.08,11.5
Ixtapa,90,MX,1623714014,74,20.7,-105.2,83.43,8.05
Saskylakh,100,RU,1623714015,81,71.9167,114.0833,42.89,15.48
Geraldton,75,AU,1623714015,93,-28.7667,114.6,52.21,6.91
Vila Velha,40,BR,1623714016,81,-20.3297,-40.2925,69.75,1.99
kimparana,96,ML,1623714016,42,12.8347,-4.9244,90.05,7.2
Brandon,75,US,1623713730,81,27.9378,-82.2859,86.25,1.01
Upata,40,VE,1623714016,94,8.0086,-62.3989,76.19,5.06
Nicoya,100,CR,1623714017,89,10.1483,-85.452,76.55,3.74
Hong Kong,36,HK,1623713855,88,22.2855,114.1577,87.96,4.0
Stephenville,40,US,1623714017,60,32.2207,-98.2023,89.94,0.0
Emerald,90,AU,1623714018,100,-23.5333,148.1667,64.54,4.61
Hofn,100,IS,1623714018,84,64.2539,-15.2082,39.49,6.42
Rock Sound,98,BS,1623714019,82,24.9,-76.2,81.39,10.29
Puerto Ayora,94,EC,1623714019,83,-0.7393,-90.3518,74.55,7.0
East London,31,ZA,1623714019,83,-33.0153,27.9116,62.13,12.19
Barrow,90,US,1623714020,87,71.2906,-156.7887,39.22,12.66
Jamestown,1,US,1623714020,59,42.097,-79.2353,70.92,5.75
Marawi,93,PH,1623714020,83,7.9986,124.2928,70.65,2.21
Mitsamiouli,9,KM,1623714021,66,-11.3847,43.2844,75.92,9.93
São João da Barra,59,BR,1623714021,65,-21.6403,-41.0511,69.28,6.22
Jamame,100,SO,1623714022,77,0.0722,42.7506,75.96,13.31
San Andrés,90,CO,1623713902,79,12.5847,-81.7006,84.22,8.05
Krabi,75,TH,1623714022,88,8.0726,98.9105,84.97,1.14
Mikhaylovka,92,RU,1623714023,93,50.06,43.2379,62.17,6.6
Casa Grande,1,US,1623714023,6,32.8795,-111.7573,112.98,8.01
Berdigestyakh,99,RU,1623714023,55,62.0989,126.6992,60.37,3.98
Gillette,1,US,1623713738,29,44.2911,-105.5022,92.32,14.0
Port Alfred,26,ZA,1623714024,89,-33.5906,26.891,62.06,11.27
Kaitangata,100,NZ,1623714024,95,-46.2817,169.8464,50.58,3.42
Abu Dhabi,0,AE,1623714025,79,24.4667,54.3667,87.91,3.44
Carnarvon,0,AU,1623714020,73,-24.8667,113.6333,53.67,9.22
Port-Gentil,75,GA,1623714025,83,-0.7193,8.7815,80.56,10.36
Tessalit,56,ML,1623714026,10,20.1986,1.0114,94.14,11.03
Dedza,55,MW,1623714026,77,-14.3779,34.3332,46.96,1.95
Kümmersbruck,9,DE,1623714026,85,49.4192,11.8883,59.63,1.88
Faanui,43,PF,1623714027,78,-16.4833,-151.75,80.26,16.87
Bokoro,69,TD,1623714027,30,12.3807,17.0568,91.99,6.4
Port-de-Bouc,0,FR,1623714028,76,43.4,4.9833,78.04,3.44
Hamilton,1,US,1623713966,50,39.1834,-84.5333,84.83,14.97
Qaanaaq,11,GL,1623714028,83,77.484,-69.3632,33.15,3.36
San Cristobal,73,VE,1623713992,87,7.7669,-72.225,73.58,2.13
Pevek,68,RU,1623714029,84,69.7008,170.3133,34.5,4.34
Quatre Cocos,56,MU,1623714029,83,-20.2078,57.7625,71.71,7.78
Chino Valley,1,US,1623714029,5,34.7575,-112.4538,105.13,5.01
Khovd,99,MN,1623714030,77,48.0056,91.6419,46.56,4.94
Pisco,90,PE,1623714030,77,-13.7,-76.2167,66.25,4.61
Hasaki,18,JP,1623714030,68,35.7333,140.8333,75.49,3.33
Merauke,86,ID,1623714031,79,-8.4667,140.3333,81.03,9.69
Porto Belo,0,BR,1623714031,83,-27.1578,-48.5531,66.96,7.29
Tuatapere,100,NZ,1623713992,98,-46.1333,167.6833,48.81,3.06
Nome,90,US,1623714032,82,64.5011,-165.4064,50.07,11.5
Kondinskoye,71,RU,1623714032,62,59.6481,67.41,66.99,10.22
Santa Maria,0,BR,1623713796,100,-29.6842,-53.8069,58.3,1.14
Henties Bay,0,NA,1623714033,53,-22.116,14.2845,62.85,2.84
Baruun-Urt,18,MN,1623714033,50,46.6806,113.2792,66.31,5.82
Chokurdakh,85,RU,1623713991,54,70.6333,147.9167,55.26,5.7
Erzin,6,TR,1623714034,87,36.9559,36.2,71.01,0.81
Muswellbrook,44,AU,1623714034,68,-32.2667,150.9,54.32,3.8
Poum,84,NC,1623714035,81,-20.2333,164.0167,74.82,14.34
Sonoita,22,MX,1623714035,16,31.85,-112.8333,109.53,12.53
Nouakchott,81,MR,1623714036,86,18.0858,-15.9785,75.13,12.26
Sehithwa,0,BW,1623714036,33,-20.4667,22.7167,56.05,3.31
Kupang,20,ID,1623714036,88,-10.1667,123.5833,72.18,3.44
Takoradze,97,GH,1623714037,88,4.8845,-1.7554,78.98,8.08
Córdoba,75,AR,1623713800,50,-31.4135,-64.1811,54.75,10.0
Ilo,31,PE,1623714037,85,-17.6394,-71.3375,62.19,2.04
Thurso,58,GB,1623714038,78,58.5927,-3.5259,50.25,18.37
Rocha,59,UY,1623714038,84,-34.4833,-54.3333,53.89,10.85
Acapulco de Juárez,75,MX,1623713875,70,16.8634,-99.8901,85.82,5.75
La Santisima Trinidad,20,BO,1623714039,83,-14.8333,-64.9,76.98,0.0
Cayenne,75,GF,1623714039,80,4.9333,-52.3333,82.09,4.0
Bilma,0,NE,1623714039,13,18.6853,12.9164,88.45,9.42
Kahului,20,US,1623713870,62,20.8947,-156.47,84.94,26.46
Lorengau,76,PG,1623714040,71,-2.0226,147.2712,84.67,11.97
Marzuq,97,YE,1623714040,26,14.4,46.4667,78.22,4.74
Guerrero Negro,42,MX,1623713756,65,27.9769,-114.0611,71.28,15.39
Berlevåg,94,NO,1623714041,69,70.8578,29.0864,44.65,2.06
Dingle,91,PH,1623714041,80,10.9995,122.6711,81.7,4.83
Mahibadhoo,5,MV,1623714042,72,3.7833,72.9667,82.87,13.0
Talnakh,26,RU,1623714042,86,69.4865,88.3972,47.26,10.69
Port Hedland,56,AU,1623714043,58,-20.3167,118.5667,55.45,4.61
Alyangula,66,AU,1623714043,100,-13.8483,136.4192,71.47,0.0
Severo-Kuril'sk,1,RU,1623714043,84,50.6789,156.125,47.48,3.83
Nautla,100,MX,1623714044,93,20.2167,-96.7833,74.46,8.88
Srandakan,50,ID,1623714044,85,-7.9386,110.2506,77.54,3.31
Norman Wells,75,CA,1623714044,59,65.282,-126.8329,60.84,8.05
Kruisfontein,2,ZA,1623714045,86,-34.0033,24.7314,51.89,4.43
Granada,86,ES,1623714045,65,37.25,-3.25,70.11,2.1
Doha,0,QA,1623714046,22,25.2867,51.5333,94.98,5.75
Shakawe,9,BW,1623714046,39,-18.3667,21.85,53.76,1.32
Esim,89,GH,1623714046,87,4.8699,-2.2405,78.69,8.12
Seymchan,8,RU,1623714047,56,62.8833,152.4333,66.0,15.21
Diébougou,71,BF,1623714047,63,10.9667,-3.25,81.7,6.58
Mackay,79,AU,1623714048,94,-21.15,149.2,73.04,6.91
Xichang,99,CN,1623714048,82,27.8964,102.2634,73.67,1.3
Santa Cruz de la Sierra,20,BO,1623714048,68,-17.8,-63.1667,73.45,6.91
Port Elizabeth,20,ZA,1623714049,94,-33.918,25.5701,54.1,1.14
Longyearbyen,75,SJ,1623713986,75,78.2186,15.6401,33.64,11.5
Saldanha,32,ZA,1623714050,80,-33.0117,17.9442,53.65,5.19
Cherskiy,89,RU,1623714050,38,68.75,161.3,61.39,8.95
Leningradskiy,100,RU,1623714050,96,69.3833,178.4167,34.48,4.27
Charter Township of Clinton,75,US,1623714051,66,42.587,-82.9199,73.47,1.01
Yar-Sale,77,RU,1623714051,76,66.8333,70.8333,63.9,8.66
Ilulissat,75,GL,1623714051,81,69.2167,-51.1,39.22,4.61
Kirakira,44,SB,1623714052,65,-10.4544,161.9205,85.28,8.57
Tiksi,100,RU,1623714052,82,71.6872,128.8694,43.38,21.43
Tiznit Province,0,MA,1623714053,72,29.5833,-9.5,63.09,1.3
Avera,26,US,1623714053,70,33.194,-82.5271,90.28,2.89
Caçapava,0,BR,1623714054,94,-23.1008,-45.7069,58.08,2.3
Quilpué,90,CL,1623714054,84,-33.045,-71.4494,54.12,5.75
Airai,64,TL,1623714054,67,-8.9266,125.4092,65.44,2.1
San Luis,28,AR,1623713863,36,-33.295,-66.3356,45.64,14.85
Bischofswerda,60,DE,1623714055,86,51.1277,14.1797,61.61,5.14
Muzhi,36,RU,1623714055,70,65.3667,64.6667,65.68,9.35
Lüderitz,100,NA,1623714056,64,-26.6481,15.1594,61.99,4.68
Darhan,100,MN,1623714056,86,49.4867,105.9228,55.31,6.44
Tubay,93,PH,1623714056,82,9.1669,125.5239,80.53,4.99
Ponta Delgada,20,PT,1623714057,83,37.7333,-25.6667,68.72,3.44
Banda Aceh,90,ID,1623714057,78,5.5577,95.3222,80.53,11.74
Coffs Harbour,92,AU,1623714057,88,-30.3,153.1333,57.16,4.61
Mago,95,RU,1623714058,41,53.2514,140.1822,67.68,7.31
Ntungamo,100,UG,1623714058,79,-0.8833,29.65,65.01,2.48
Bredasdorp,0,ZA,1623714059,93,-34.5322,20.0403,54.28,0.0
Angoche,25,MZ,1623714059,78,-16.2325,39.9086,67.91,6.78
Sand,20,DE,1623714059,88,50.0,10.6,62.15,1.01
Lavrentiya,100,RU,1623714060,99,65.5833,-171.0,35.85,5.68
El Alto,64,PE,1623714060,86,-4.2714,-81.2147,67.66,12.03
Fort Nelson,75,CA,1623714061,33,58.8053,-122.7002,76.59,4.61
Cidreira,0,BR,1623714052,81,-30.1811,-50.2056,59.47,3.0
Chokwé,0,MZ,1623714061,79,-24.5333,32.9833,59.85,4.12
Sarangani,100,PH,1623714062,75,5.4033,125.4636,81.03,6.31
Bengkulu,88,ID,1623714019,84,-3.8004,102.2655,76.26,3.27
Nueva Gorgona,100,PA,1623714062,87,8.55,-79.8667,82.51,6.85
Kirensk,100,RU,1623714063,80,57.7853,108.1119,57.24,2.35
Cockburn Town,87,TC,1623713869,86,21.4612,-71.1419,80.6,21.23
